Cell name,Leiden cluster,Cell type,Developmental stage
cell_696,13,Pharyngeal mesoderm,E7.5
cell_697,27,Rostral neurectoderm,E7.5
cell_698,12,Blood progenitors 2,E7.5
cell_701,27,Primitive Streak,E7.5
cell_702,11,Intermediate mesoderm,E7.5
cell_704,20,Rostral neurectoderm,E7.5
cell_706,17,Rostral neurectoderm,E7.5
cell_707,23,Gut,E7.5
cell_709,12,Blood progenitors 2,E7.5
cell_710,12,Blood progenitors 2,E7.5
cell_711,3,Mesenchyme,E7.5
cell_712,12,Blood progenitors 2,E7.5
cell_713,20,Rostral neurectoderm,E7.5
cell_714,32,Caudal epiblast,E7.5
cell_715,1,Mixed mesoderm,E7.5
cell_716,12,Blood progenitors 2,E7.5
cell_717,9,PGC,E7.5
cell_718,9,Mixed mesoderm,E7.5
cell_720,9,Mixed mesoderm,E7.5
cell_721,20,Rostral neurectoderm,E7.5
cell_723,20,Rostral neurectoderm,E7.5
cell_725,28,Gut,E7.5
cell_728,9,Nascent mesoderm,E7.5
cell_730,20,Rostral neurectoderm,E7.5
cell_731,20,Surface ectoderm,E7.5
cell_735,9,Intermediate mesoderm,E7.5
cell_737,12,Blood progenitors 2,E7.5
cell_738,32,Surface ectoderm,E7.5
cell_740,20,Caudal epiblast,E7.5
cell_745,45,PGC,E7.5
cell_747,50,Nascent mesoderm,E7.5
cell_748,32,Caudal epiblast,E7.5
cell_749,9,Mixed mesoderm,E7.5
cell_750,12,Blood progenitors 1,E7.5
cell_754,20,Rostral neurectoderm,E7.5
cell_755,20,Surface ectoderm,E7.5
cell_756,3,Mesenchyme,E7.5
cell_757,9,Mixed mesoderm,E7.5
cell_760,54,Epiblast,E7.5
cell_761,12,Blood progenitors 2,E7.5
cell_765,50,Mixed mesoderm,E7.5
cell_769,1,Nascent mesoderm,E7.5
cell_770,20,Rostral neurectoderm,E7.5
cell_771,12,Blood progenitors 1,E7.5
cell_772,27,Rostral neurectoderm,E7.5
cell_775,1,Nascent mesoderm,E7.5
cell_778,9,Mesenchyme,E7.5
cell_787,27,Epiblast,E7.5
cell_788,63,Epiblast,E7.5
cell_790,1,Nascent mesoderm,E7.5
cell_794,20,Rostral neurectoderm,E7.5
cell_795,32,Surface ectoderm,E7.5
cell_797,9,Pharyngeal mesoderm,E7.5
cell_800,1,Nascent mesoderm,E7.5
cell_802,27,Epiblast,E7.5
cell_803,3,Mesenchyme,E7.5
cell_804,61,Rostral neurectoderm,E7.5
cell_805,37,Mixed mesoderm,E7.5
cell_806,3,Mesenchyme,E7.5
cell_807,20,Surface ectoderm,E7.5
cell_808,1,Nascent mesoderm,E7.5
cell_809,20,Epiblast,E7.5
cell_811,12,Blood progenitors 2,E7.5
cell_813,1,Nascent mesoderm,E7.5
cell_814,3,Mesenchyme,E7.5
cell_815,21,Notochord,E7.5
cell_816,21,Def. endoderm,E7.5
cell_817,3,Mesenchyme,E7.5
cell_818,27,Primitive Streak,E7.5
cell_821,12,Blood progenitors 1,E7.5
cell_823,3,Mesenchyme,E7.5
cell_825,9,Mesenchyme,E7.5
cell_827,3,Mesenchyme,E7.5
cell_832,1,Nascent mesoderm,E7.5
cell_833,9,Mixed mesoderm,E7.5
cell_836,20,Rostral neurectoderm,E7.5
cell_837,11,Mixed mesoderm,E7.5
cell_840,20,Epiblast,E7.5
cell_841,9,Mixed mesoderm,E7.5
cell_842,28,Def. endoderm,E7.5
cell_845,3,Mesenchyme,E7.5
cell_846,12,Blood progenitors 2,E7.5
cell_847,20,Rostral neurectoderm,E7.5
cell_848,21,Rostral neurectoderm,E7.5
cell_849,1,Mixed mesoderm,E7.5
cell_850,28,Gut,E7.5
cell_854,20,Rostral neurectoderm,E7.5
cell_855,3,Mesenchyme,E7.5
cell_856,50,Nascent mesoderm,E7.5
cell_858,61,Rostral neurectoderm,E7.5
cell_859,9,Pharyngeal mesoderm,E7.5
cell_860,20,Epiblast,E7.5
cell_861,3,Mesenchyme,E7.5
cell_862,50,Nascent mesoderm,E7.5
cell_869,32,Primitive Streak,E7.5
cell_870,28,Def. endoderm,E7.5
cell_873,28,Def. endoderm,E7.5
cell_876,37,Haematoendothelial progenitors,E7.5
cell_878,16,Mixed mesoderm,E7.5
cell_879,20,Rostral neurectoderm,E7.5
cell_880,20,Rostral neurectoderm,E7.5
cell_886,9,Mixed mesoderm,E7.5
cell_888,1,Mixed mesoderm,E7.5
cell_890,12,Blood progenitors 2,E7.5
cell_891,27,Rostral neurectoderm,E7.5
cell_894,32,Intermediate mesoderm,E7.5
cell_896,12,Blood progenitors 2,E7.5
cell_899,3,Mesenchyme,E7.5
cell_902,1,Nascent mesoderm,E7.5
cell_903,27,Primitive Streak,E7.5
cell_906,32,Surface ectoderm,E7.5
cell_907,54,Epiblast,E7.5
cell_909,3,Mesenchyme,E7.5
cell_910,20,Epiblast,E7.5
cell_913,28,Def. endoderm,E7.5
cell_914,20,Epiblast,E7.5
cell_918,20,Rostral neurectoderm,E7.5
cell_919,9,Nascent mesoderm,E7.5
cell_920,9,Nascent mesoderm,E7.5
cell_921,32,Nascent mesoderm,E7.5
cell_923,12,Blood progenitors 2,E7.5
cell_924,1,Mixed mesoderm,E7.5
cell_925,9,Mixed mesoderm,E7.5
cell_926,20,Epiblast,E7.5
cell_928,20,Rostral neurectoderm,E7.5
cell_929,3,Mesenchyme,E7.5
cell_930,3,Mesenchyme,E7.5
cell_932,9,Mixed mesoderm,E7.5
cell_933,20,Rostral neurectoderm,E7.5
cell_934,20,Rostral neurectoderm,E7.5
cell_939,3,Mesenchyme,E7.5
cell_940,28,Gut,E7.5
cell_943,20,Epiblast,E7.5
cell_944,37,Haematoendothelial progenitors,E7.5
cell_946,32,Intermediate mesoderm,E7.5
cell_947,32,Intermediate mesoderm,E7.5
cell_948,32,Caudal epiblast,E7.5
cell_949,20,Primitive Streak,E7.5
cell_950,26,Mixed mesoderm,E7.5
cell_951,20,Primitive Streak,E7.5
cell_952,32,Caudal epiblast,E7.5
cell_955,32,Nascent mesoderm,E7.5
cell_958,3,Mesenchyme,E7.5
cell_959,16,Mixed mesoderm,E7.5
cell_960,9,Mixed mesoderm,E7.5
cell_962,37,Haematoendothelial progenitors,E7.5
cell_963,60,Parietal endoderm,E7.5
cell_964,32,Caudal Mesoderm,E7.5
cell_965,3,Mesenchyme,E7.5
cell_967,20,Epiblast,E7.5
cell_968,47,Rostral neurectoderm,E7.5
cell_971,9,Mixed mesoderm,E7.5
cell_972,54,Epiblast,E7.5
cell_973,3,Mesenchyme,E7.5
cell_976,1,Nascent mesoderm,E7.5
cell_977,9,Mixed mesoderm,E7.5
cell_978,32,Intermediate mesoderm,E7.5
cell_979,16,Paraxial mesoderm,E7.5
cell_981,20,Rostral neurectoderm,E7.5
cell_983,61,Rostral neurectoderm,E7.5
cell_986,20,Rostral neurectoderm,E7.5
cell_987,21,Notochord,E7.5
cell_989,20,Rostral neurectoderm,E7.5
cell_992,66,Epiblast,E7.5
cell_994,12,Blood progenitors 1,E7.5
cell_996,9,Mixed mesoderm,E7.5
cell_997,3,Mesenchyme,E7.5
cell_1000,20,Caudal epiblast,E7.5
cell_1002,32,Caudal epiblast,E7.5
cell_1004,20,Surface ectoderm,E7.5
cell_1005,32,PGC,E7.5
cell_1007,20,Epiblast,E7.5
cell_1009,3,Mesenchyme,E7.5
cell_1011,20,Rostral neurectoderm,E7.5
cell_1012,20,Primitive Streak,E7.5
cell_1014,32,Caudal epiblast,E7.5
cell_1015,9,Mixed mesoderm,E7.5
cell_1017,3,Mesenchyme,E7.5
cell_1018,32,Caudal epiblast,E7.5
cell_1020,3,Mesenchyme,E7.5
cell_1023,9,Mixed mesoderm,E7.5
cell_1024,28,Gut,E7.5
cell_1025,21,Def. endoderm,E7.5
cell_1028,23,Gut,E7.5
cell_1030,20,Rostral neurectoderm,E7.5
cell_1032,23,Gut,E7.5
cell_1039,12,Blood progenitors 2,E7.5
cell_1042,9,Mesenchyme,E7.5
cell_1044,60,Parietal endoderm,E7.5
cell_1048,3,Mesenchyme,E7.5
cell_1049,3,Allantois,E7.5
cell_1050,21,Def. endoderm,E7.5
cell_1052,27,Rostral neurectoderm,E7.5
cell_1053,9,Mixed mesoderm,E7.5
cell_1057,9,Mixed mesoderm,E7.5
cell_1059,20,Epiblast,E7.5
cell_1061,50,Mixed mesoderm,E7.5
cell_1063,20,Epiblast,E7.5
cell_1064,2,Epiblast,E7.5
cell_1065,3,Mesenchyme,E7.5
cell_1066,18,Surface ectoderm,E7.5
cell_1067,3,Mesenchyme,E7.5
cell_1068,20,Epiblast,E7.5
cell_1072,1,Nascent mesoderm,E7.5
cell_1073,20,Epiblast,E7.5
cell_1074,9,Intermediate mesoderm,E7.5
cell_1076,50,Mixed mesoderm,E7.5
cell_1080,28,Mixed mesoderm,E7.5
cell_1082,20,Epiblast,E7.5
cell_1085,27,Primitive Streak,E7.5
cell_1087,20,Epiblast,E7.5
cell_1089,27,Epiblast,E7.5
cell_1091,20,Rostral neurectoderm,E7.5
cell_1092,32,Caudal epiblast,E7.5
cell_1094,3,Mesenchyme,E7.5
cell_1095,20,Surface ectoderm,E7.5
cell_1097,9,Mixed mesoderm,E7.5
cell_1098,3,Mesenchyme,E7.5
cell_1099,3,Mesenchyme,E7.5
cell_1101,16,Mixed mesoderm,E7.5
cell_1102,20,Epiblast,E7.5
cell_1104,20,Rostral neurectoderm,E7.5
cell_1106,32,Caudal epiblast,E7.5
cell_1110,20,Surface ectoderm,E7.5
cell_1112,21,Def. endoderm,E7.5
cell_1114,3,Mesenchyme,E7.5
cell_1115,20,Primitive Streak,E7.5
cell_1116,32,Intermediate mesoderm,E7.5
cell_1119,9,Nascent mesoderm,E7.5
cell_1121,37,Haematoendothelial progenitors,E7.5
cell_1125,3,Mesenchyme,E7.5
cell_1128,9,Mixed mesoderm,E7.5
cell_1129,12,Blood progenitors 2,E7.5
cell_1130,3,Mesenchyme,E7.5
cell_1135,37,Haematoendothelial progenitors,E7.5
cell_1137,20,Rostral neurectoderm,E7.5
cell_1138,12,Blood progenitors 2,E7.5
cell_1139,16,Pharyngeal mesoderm,E7.5
cell_1140,27,Rostral neurectoderm,E7.5
cell_1142,9,Mixed mesoderm,E7.5
cell_1146,9,Mixed mesoderm,E7.5
cell_1147,32,Caudal epiblast,E7.5
cell_1149,27,Primitive Streak,E7.5
cell_1150,20,Rostral neurectoderm,E7.5
cell_1152,27,Rostral neurectoderm,E7.5
cell_1156,3,Mesenchyme,E7.5
cell_1158,9,Mixed mesoderm,E7.5
cell_1159,50,Nascent mesoderm,E7.5
